"Site","Monthly","MeanTemp","SDTemp","Year"
"CapeFoulwind","2005/07",12.2473809523810,0.272432356320672,"2005"
"CapeFoulwind","2005/08",12.2080981182796,0.718670369490079,"2005"
"CapeFoulwind","2005/09",12.9488333333333,0.930085830736327,"2005"
"CapeFoulwind","2005/10",13.7000134408602,1.76915467710067,"2005"
"CapeFoulwind","2005/11",14.3600486111111,1.49769633078059,"2005"
"CapeFoulwind","2005/12",16.9026948924731,1.93231902682759,"2005"
"CapeFoulwind","2006/01",14.8244189189189,1.67420999509853,"2006"
"CapeFoulwind","2006/02",15.74,1.45784819856767,"2006"
"CapeFoulwind","2006/03",14.8114496644295,1.10705226635108,"2006"
"CapeFoulwind","2006/04",16.1448402777778,0.827532045599033,"2006"
"CapeFoulwind","2006/05",15.0442204301075,0.900191900522657,"2006"
"CapeFoulwind","2006/06",13.4570694444444,1.32330992375649,"2006"
"CapeFoulwind","2006/07",12.2492540322581,0.749464131349926,"2006"
"CapeFoulwind","2006/08",11.9658266129032,1.00205672262797,"2006"
"CapeFoulwind","2006/09",12.5004513888889,0.728783962740889,"2006"
"CapeFoulwind","2006/10",12.6853566621804,0.858541697164675,"2006"
"CapeFoulwind","2006/11",13.5730486111111,1.67016582062348,"2006"
"CapeFoulwind","2006/12",13.5561895161290,1.68808461084355,"2006"
"CapeFoulwind","2007/01",15.7559341397849,1.66383731405144,"2007"
"CapeFoulwind","2007/02",16.4612377358491,1.78058914732340,"2007"
"CapeFoulwind","2007/03",15.3941879194631,2.1927092495765,"2007"
"CapeFoulwind","2007/04",13.8626180555556,1.13214747635693,"2007"
"CapeFoulwind","2007/05",13.7328225806452,0.60248987142161,"2007"
"CapeFoulwind","2007/06",11.608875,1.38113392131867,"2007"
"CapeFoulwind","2007/07",10.2313185530922,1.66144030594777,"2007"
"JacksonHead","2006/02",16.36625,2.44580896925424,"2006"
"JacksonHead","2006/03",12.3382416107383,2.08185263767235,"2006"
"JacksonHead","2006/04",13.719625,0.647199020605263,"2006"
"JacksonHead","2006/05",12.8840927419355,0.864550905650483,"2006"
"JacksonHead","2006/06",11.3604652777778,0.994300361740063,"2006"
"JacksonHead","2006/07",10.3958064516129,0.987860489735744,"2006"
"JacksonHead","2006/08",10.0685013440860,0.879720472049148,"2006"
"JacksonHead","2006/09",10.3802430555556,0.84782574181576,"2006"
"JacksonHead","2006/10",10.6892193808883,0.862413376114318,"2006"
"JacksonHead","2006/11",10.6443263888889,1.23592915662373,"2006"
"JacksonHead","2006/12",11.1726075268817,1.03705537390789,"2006"
"JacksonHead","2007/01",13.7661559139785,1.15215654403776,"2007"
"JacksonHead","2007/02",14.3429978432782,1.99442049046862,"2007"
"JacksonHead","2007/03",14.8953825503356,1.65123700134719,"2007"
"JacksonHead","2007/04",13.4063402777778,1.38047866462229,"2007"
"JacksonHead","2007/05",13.5092809139785,1.03172459304623,"2007"
"JacksonHead","2007/06",12.2519158200290,1.55455766119279,"2007"
"OkahuPoint","2006/02",13.1323611111111,1.42919507835267,"2006"
"OkahuPoint","2006/03",13.9254563758389,1.55633745023662,"2006"
"OkahuPoint","2006/04",15.3518263888889,0.792396676181422,"2006"
"OkahuPoint","2006/05",14.5223790322581,1.30564198542303,"2006"
"OkahuPoint","2006/06",12.9860416666667,1.43565716393427,"2006"
"OkahuPoint","2006/07",12.1119758064516,1.27770031077270,"2006"
"OkahuPoint","2006/08",11.7272311827957,1.36654837712745,"2006"
"OkahuPoint","2006/09",12.1443055555556,0.93984847356902,"2006"
"OkahuPoint","2006/10",12.3804239569314,1.17212708683042,"2006"
"OkahuPoint","2006/11",12.4917777777778,1.27940239939408,"2006"
"OkahuPoint","2006/12",13.1657190860215,1.27275168820836,"2006"
"OkahuPoint","2007/01",15.8358198924731,1.36042059038293,"2007"
"OkahuPoint","2007/02",14.5803637770898,1.95162680736270,"2007"
"OkahuPoint","2007/03",12.4796711409396,1.7430708909467,"2007"
"OkahuPoint","2007/04",11.0117083333333,1.35459811936075,"2007"
"OkahuPoint","2007/05",10.9280510752688,0.90731420355165,"2007"
"OkahuPoint","2007/06",9.66831395348837,1.29944677747517,"2007"
"PaiaPoint","2005/08",12.7379189189189,4.88601256128713,"2005"
"PaiaPoint","2005/09",10.4857013888889,0.866359990303468,"2005"
"PaiaPoint","2005/10",11.9886559139785,2.34657304417877,"2005"
"PaiaPoint","2005/11",14.4815555555556,2.14123267212807,"2005"
"PaiaPoint","2005/12",15.5782930107527,2.5731357553575,"2005"
"PaiaPoint","2006/01",16.3519354838710,2.14387095390204,"2006"
"PaiaPoint","2006/02",16.3378166915052,1.58320564724898,"2006"
"PaiaPoint","2006/03",15.0678456375839,1.15296236680667,"2006"
"PaiaPoint","2006/04",14.1958472222222,1.02946829971465,"2006"
"PaiaPoint","2006/05",12.4368145161290,0.878087539775723,"2006"
"PaiaPoint","2006/06",10.2120833333333,1.49800203978110,"2006"
"PaiaPoint","2006/07",9.18513440860215,0.838765213554375,"2006"
"PaiaPoint","2006/08",8.8624059139785,1.04733446105853,"2006"
"PaiaPoint","2006/09",10.1877916666667,1.65595851231547,"2006"
"PaiaPoint","2006/10",11.4490444145357,1.87529482181685,"2006"
"PaiaPoint","2006/11",13.1989236111111,1.74801220006087,"2006"
"PaiaPoint","2006/12",14.0535483870968,1.90345957369719,"2006"
"PaiaPoint","2007/01",15.5452352150538,2.27933509424848,"2007"
"PaiaPoint","2007/02",16.2329166666667,2.37185208816257,"2007"
"PaiaPoint","2007/03",16.2195704697987,2.34366541532268,"2007"
