Handling Time Coefficients
 'ConLevel' = Constraint Percentage, 'Window'of 0.1 = 2hrs24min
Prey with no 'N' are matched to other species by taxonomy only
"Pred","Prey","N","ConLevel","Window","Type","logIntC","logPredSizeC","logPreySizeC","logTempC","IntC","PredSizeC","PreySizeC","TempC","R2","Sigma","Pvalue"
"Haustrum haustorium","Cellana denticulata",28,0.3,0.1,"Weighted",9.361491,-3.677213,2.755118,-0.772342,11631.715171,0.025293,15.722894,0.46193,0.783756150212948,1.56930637552902,3.76884372599307e-08
"Haustrum haustorium","Cellana denticulata",35,0.5,0.1,"Unweighted",9.661374,-3.667756,2.65796,-0.800661,15699.334379,0.025534,14.267153,0.449032,0.745303845954142,0.532285172504804,2.46520504010306e-09
"Haustrum haustorium","Cellana denticulata",35,0.5,0.1,"Weighted",9.352439,-3.569357,2.676534,-0.836787,11526.900279,0.028174,14.534623,0.4331,0.774562427845661,1.44960859381896,3.7855230061723e-10
"Haustrum haustorium","Cellana denticulata",45,0.8,0.1,"Unweighted",8.908955,-3.223922,2.364042,-0.76424,7397.927196,0.039799,10.633843,0.465688,0.61620283125121,0.611640389174144,1.23384467087817e-08
"Haustrum haustorium","Cellana denticulata",45,0.8,0.1,"Weighted",9.496073,-3.456193,2.531768,-0.887907,13307.363837,0.03155,12.575718,0.411516,0.71675746460114,1.45309807588252,2.61231036802201e-11
"Haustrum haustorium","Cellana ornata",36,0.1,0.1,"Unweighted",8.630605,-1.454751,1.648118,-2.001003,5600.463966,0.233459,5.197188,0.1352,0.59687810851997,0.683071052166822,1.76930641360151e-06
"Haustrum haustorium","Cellana ornata",36,0.1,0.1,"Weighted",8.6633,-1.494629,1.647465,-1.972765,5786.598956,0.224332,5.193797,0.139072,0.616139591711522,2.11933556349152,8.20079852914546e-07
"Haustrum haustorium","Cellana ornata",44,0.2,0.1,"Unweighted",8.319975,-1.605895,1.93137,-1.924607,4105.058004,0.20071,6.898957,0.145933,0.596203098122257,0.663663692452614,5.35528219547388e-08
"Haustrum haustorium","Cellana ornata",44,0.2,0.1,"Weighted",8.477194,-1.560112,1.797844,-1.941032,4803.951121,0.210112,6.036619,0.143556,0.610506040920942,2.00047650160572,2.63206256789772e-08
"Haustrum haustorium","Cellana ornata",50,0.3,0.1,"Unweighted",7.688498,-1.627754,1.951775,-1.641717,2183.09314,0.19637,7.041173,0.193647,0.501152635128868,0.7235702054491,4.49043322525711e-07
"Haustrum haustorium","Cellana ornata",50,0.3,0.1,"Weighted",8.175086,-1.582523,1.860282,-1.847386,3551.359127,0.205456,6.425546,0.157649,0.585196504178265,1.95896132046890,6.92796064960532e-09
"Haustrum haustorium","Cellana ornata",59,0.5,0.1,"Unweighted",6.439634,-1.541582,2.104122,-1.406339,626.177384,0.214042,8.199904,0.245039,0.463614346082662,0.719071642607635,1.51439520812424e-07
"Haustrum haustorium","Cellana ornata",59,0.5,0.1,"Weighted",8.000258,-1.555359,1.867147,-1.814138,2981.727205,0.211114,6.469811,0.162978,0.570609778837049,1.84846751379222,3.67453845129262e-10
"Haustrum haustorium","Cellana ornata",93,0.8,0.1,"Unweighted",6.905265,-1.432286,1.635392,-1.257437,997.51269,0.238762,5.131469,0.284382,0.372639947076699,0.623409044738068,4.60509053112901e-09
"Haustrum haustorium","Cellana ornata",93,0.8,0.1,"Weighted",8.002267,-1.559794,1.756273,-1.689304,2987.723876,0.210179,5.790817,0.184648,0.526935019857275,1.53712128630636,1.90958360235527e-14
"Haustrum haustorium","Cellana radians",25,0.1,0.1,"Unweighted",4.695751,-1.164601,2.164318,-1.768755,109.480948,0.312047,8.708664,0.170545,0.788314167008861,0.393107753415691,2.82609775137388e-07
"Haustrum haustorium","Cellana radians",25,0.1,0.1,"Weighted",5.146556,-1.393798,2.285831,-1.745596,171.838666,0.248131,9.833857,0.174541,0.799059901434543,1.32493130621898,1.64532070412449e-07
"Haustrum haustorium","Cellana radians",25,0.2,0.1,"Unweighted",4.695751,-1.164601,2.164318,-1.768755,109.480948,0.312047,8.708664,0.170545,0.788314167008861,0.393107753415691,2.82609775137388e-07
"Haustrum haustorium","Cellana radians",25,0.2,0.1,"Weighted",5.146556,-1.393798,2.285831,-1.745596,171.838666,0.248131,9.833857,0.174541,0.799059901434543,1.32493130621898,1.64532070412449e-07
"Haustrum haustorium","Cellana radians",27,0.3,0.1,"Unweighted",5.86503,-1.596968,2.426261,-1.875026,352.492884,0.20251,11.316487,0.153351,0.796967203038668,0.425121251932124,3.8784898848121e-08
"Haustrum haustorium","Cellana radians",27,0.3,0.1,"Weighted",5.44055,-1.492018,2.344128,-1.779077,230.568865,0.224918,10.424184,0.168794,0.804404322613586,1.30054111735858,2.53573437802856e-08
"Haustrum haustorium","Cellana radians",29,0.5,0.1,"Unweighted",5.920467,-1.645019,2.455371,-1.859387,372.585691,0.193009,11.65076,0.155768,0.81124845310107,0.409568192020059,3.31518190677116e-09
"Haustrum haustorium","Cellana radians",29,0.5,0.1,"Weighted",5.482344,-1.521787,2.36177,-1.771808,240.40962,0.218321,10.609713,0.170025,0.81062534740957,1.25060899230200,3.45340089857871e-09
"Haustrum haustorium","Cellana radians",41,0.8,0.1,"Unweighted",5.075963,-1.696681,2.472223,-1.481932,160.126359,0.183291,11.848761,0.227198,0.778598856495535,0.413956410448504,3.38307160063778e-12
"Haustrum haustorium","Cellana radians",41,0.8,0.1,"Weighted",5.122725,-1.518295,2.364322,-1.642429,167.792038,0.219085,10.636823,0.193509,0.802949786137528,1.10291551270048,3.97570865118269e-13
"Haustrum haustorium","Chamaesipho spp",39,0.1,0.1,"Unweighted",4.587296,0.480667,-0.278622,-1.083126,98.228479,1.617152,0.756826,0.338536,0.084421459104546,0.658090803820947,0.371979195147985
"Haustrum haustorium","Chamaesipho spp",39,0.1,0.1,"Weighted",3.626584,0.175243,-0.20127,-0.403525,37.584228,1.191536,0.817692,0.667961,0.0137424197031924,5.93929516402236,0.920831390010035
"Haustrum haustorium","Chamaesipho spp",39,0.2,0.1,"Unweighted",4.587296,0.480667,-0.278622,-1.083126,98.228479,1.617152,0.756826,0.338536,0.084421459104546,0.658090803820947,0.371979195147985
"Haustrum haustorium","Chamaesipho spp",39,0.2,0.1,"Weighted",3.626584,0.175243,-0.20127,-0.403525,37.584228,1.191536,0.817692,0.667961,0.0137424197031924,5.93929516402236,0.920831390010035
"Haustrum haustorium","Chamaesipho spp",39,0.3,0.1,"Unweighted",4.587296,0.480667,-0.278622,-1.083126,98.228479,1.617152,0.756826,0.338536,0.084421459104546,0.658090803820947,0.371979195147985
"Haustrum haustorium","Chamaesipho spp",39,0.3,0.1,"Weighted",3.626584,0.175243,-0.20127,-0.403525,37.584228,1.191536,0.817692,0.667961,0.0137424197031924,5.93929516402236,0.920831390010035
"Haustrum haustorium","Chamaesipho spp",39,0.5,0.1,"Unweighted",4.587296,0.480667,-0.278622,-1.083126,98.228479,1.617152,0.756826,0.338536,0.084421459104546,0.658090803820947,0.371979195147985
"Haustrum haustorium","Chamaesipho spp",39,0.5,0.1,"Weighted",3.626584,0.175243,-0.20127,-0.403525,37.584228,1.191536,0.817692,0.667961,0.0137424197031924,5.93929516402236,0.920831390010035
"Haustrum haustorium","Chamaesipho spp",40,0.8,0.1,"Unweighted",4.652723,0.480321,-0.260125,-1.116171,104.870192,1.616594,0.770955,0.327532,0.0848277677970289,0.651892833371224,0.356844145919079
"Haustrum haustorium","Chamaesipho spp",40,0.8,0.1,"Weighted",3.628544,0.175195,-0.200654,-0.404496,37.657938,1.191479,0.818196,0.667313,0.0137143686151688,5.85686107133746,0.918022333891817
